salvador,0.09999999999999998
rol,0.19999999999999996
considerado,0.2
papel,0.4
redención,0.4
redención,0.2
fe,0.4
según,0.4
ampliamente,0.1
desempeñó,0.09999999999999998
trascendental,0.19999999999999996
cumplimiento,0.19999999999999996
ampliamente,0.15000000000000002
reconocido,0.30000000000000004
sacrificio,0.30000000000000004
seres,0.15000000000000002
pecados,0.30000000000000004
adorado,0.30000000000000004
ampliamente,0.30000000000000004
según,0.15000000000000002
esperanza,0.09999999999999998
considerado,0.30000000000000004
personaje,0.30000000000000004
hacia,0.30000000000000004
salvación,0.30000000000000004
basada,0.15000000000000002
misericordia,0.15000000000000002
esperanza,0.15000000000000002
símbolo,0.15000000000000002
aquel,0.09999999999999998
trae,0.09999999999999998
entregar,0.4
,0.4
monstró,0.19999999999999996
seres,0.19999999999999996
a través de,0.5
milagros,0.5
prodigios,0.5
desempeñó,0.09999999999999998
papel,0.09999999999999998
esperanza,0.30000000000000004
brinda,0.30000000000000004
consuelo,0.30000000000000004
creen,0.30000000000000004
enseñanza,0.6
a lo largo de,0.6
difundidos,0.6
ampliamente,0.6
enseñó,0.5
entregar,0.5
demás,0.5
esperar,0.5
según,0.25
basada,0.4
incondicional,0.4
redentor,0.4
según,0.15000000000000002
amar,0.15000000000000002
nosotros mismos,0.15000000000000002
prodigios,0.050000000000000044
demás,0.050000000000000044
promovía,0.050000000000000044
esperamos,0.050000000000000044
líder,0.09999999999999998
Mesías,0.09999999999999998
aquel que,0.09999999999999998
